task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	07/454379	184569	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (wgs_calling_regions_noseconds.hg38.bed)	COMPLETED	0	2023-03-12 02:33:35.049	3.2s	0ms	64.9%	2.8 MB	11 MB	64.5 KB	9.1 KB
19	02/f8733c	181006	NFCORE_SAREK:SAREK:FASTQC (HG002_20220916-1)	COMPLETED	0	2023-03-12 02:33:30.024	8.2s	5s	276.0%	328.1 MB	4.3 GB	31.4 MB	2 MB
18	b6/8ef973	181021	NFCORE_SAREK:SAREK:FASTQC (HG002_20220916-0)	COMPLETED	0	2023-03-12 02:33:30.035	8.2s	5s	238.2%	270.5 MB	4.3 GB	28.4 MB	2 MB
25	ea/dab5ec	181011	NFCORE_SAREK:SAREK:FASTQC (HG002_20220916-1003)	COMPLETED	0	2023-03-12 02:33:30.030	9.8s	6s	312.6%	405.7 MB	4.2 GB	37.2 MB	2.1 MB
24	60/fdc63a	181089	NFCORE_SAREK:SAREK:FASTQC (HG002_20220916-1002)	COMPLETED	0	2023-03-12 02:33:30.056	10.1s	6s	274.4%	529 MB	4.3 GB	39.3 MB	1.9 MB
21	fa/24e6e2	181000	NFCORE_SAREK:SAREK:FASTQC (HG002_20220916-100)	COMPLETED	0	2023-03-12 02:33:30.013	10.5s	6s	248.9%	320.3 MB	4.3 GB	39.1 MB	2.1 MB
22	f2/0efd58	181032	NFCORE_SAREK:SAREK:FASTQC (HG002_20220916-1000)	COMPLETED	0	2023-03-12 02:33:30.039	10.6s	7s	245.3%	480.9 MB	4.3 GB	38.1 MB	1.9 MB
23	47/5acfb6	181039	NFCORE_SAREK:SAREK:FASTQC (HG002_20220916-1001)	COMPLETED	0	2023-03-12 02:33:30.043	10.9s	6s	259.6%	343.9 MB	4.3 GB	37.5 MB	2 MB
20	20/239346	181051	NFCORE_SAREK:SAREK:FASTQC (HG002_20220916-10)	COMPLETED	0	2023-03-12 02:33:30.047	11s	6s	326.1%	487.3 MB	4.3 GB	35.5 MB	1.8 MB
26	b8/3242d3	181075	NFCORE_SAREK:SAREK:FASTQC (HG002_20220916-1004)	COMPLETED	0	2023-03-12 02:33:30.052	11.3s	7s	249.5%	432 MB	4.3 GB	38.6 MB	1.9 MB
30	46/fefd6f	186665	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr4_58921382-190123121)	COMPLETED	0	2023-03-12 02:33:38.445	3.2s	0ms	42.5%	3.1 MB	5.4 MB	93.4 KB	3.3 KB
31	3c/5c4934	186689	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr3_93705575-198235559)	COMPLETED	0	2023-03-12 02:33:38.461	3.2s	0ms	81.2%	3.1 MB	5.4 MB	93.4 KB	3.4 KB
42	b0/3525f4	186775	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_68220553-134183092)	COMPLETED	0	2023-03-12 02:33:38.506	4.5s	1s	53.5%	3.1 MB	5.4 MB	93.3 KB	3.3 KB
29	36/e1c4b8	186529	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_97489619-238903659)	COMPLETED	0	2023-03-12 02:33:38.335	6.6s	0ms	78.1%	3.1 MB	5.4 MB	93.4 KB	3.4 KB
81	e3/9d19b7	186817	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr11_54525075-70955696)	COMPLETED	0	2023-03-12 02:33:38.517	6.5s	0ms	76.8%	3 MB	5.4 MB	93.3 KB	3.2 KB
35	c0/a779b9	187086	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr14_19611714-106883718)	COMPLETED	0	2023-03-12 02:33:38.583	6.5s	0ms	56.1%	3.1 MB	5.4 MB	93.4 KB	3.3 KB
37	61/cc1bcc	186909	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_61967064-61976104)	COMPLETED	0	2023-03-12 02:33:38.540	6.6s	0ms	41.9%	3 MB	5.4 MB	93.4 KB	3.4 KB
49	c1/406a9b	186712	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_62462543-114281198)	COMPLETED	0	2023-03-12 02:33:38.480	6.8s	0ms	62.2%	3.1 MB	5.4 MB	93.4 KB	3.3 KB
33	96/068695	186640	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_29553836-121976459)	COMPLETED	0	2023-03-12 02:33:38.429	7.1s	1s	54.9%	3.1 MB	5.4 MB	93.5 KB	3.3 KB
56	67/e017d0	186728	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chrX_2132995-37099262)	COMPLETED	0	2023-03-12 02:33:38.488	7.2s	0ms	82.9%	3.1 MB	5.4 MB	93.3 KB	3.2 KB
34	cd/5dcfd7	187114	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr3_10001-90565295)	COMPLETED	0	2023-03-12 02:33:38.592	7.8s	0ms	61.0%	3.2 MB	5.4 MB	93.5 KB	3.3 KB
58	39/c8b0f3	186746	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr22_18339130-18433513)	COMPLETED	0	2023-03-12 02:33:38.494	9.4s	0ms	86.7%	3.1 MB	5.4 MB	93.5 KB	3.3 KB
32	8a/a8e980	186620	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr12_37257056-37379851)	COMPLETED	0	2023-03-12 02:33:38.415	9.6s	0ms	78.6%	3 MB	5.4 MB	93.5 KB	3.5 KB
41	1a/ae0a33	186870	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr13_18408107-86202979)	COMPLETED	0	2023-03-12 02:33:38.529	9.5s	0ms	109.2%	0	0	93.3 KB	3.2 KB
51	ca/955bc0	187211	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr11_88002897-135076622)	COMPLETED	0	2023-03-12 02:33:38.617	9.4s	0ms	88.4%	3 MB	5.4 MB	93.3 KB	3.3 KB
55	57/4a943e	186952	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr10_10001-38529907)	COMPLETED	0	2023-03-12 02:33:38.551	9.9s	0ms	92.4%	3.2 MB	5.4 MB	93.6 KB	3.3 KB
50	08/ecbfc5	187177	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr11_60001-50821348)	COMPLETED	0	2023-03-12 02:33:38.609	11.2s	0ms	47.6%	3.1 MB	5.4 MB	93.3 KB	3.2 KB
65	b0/0135d3	187021	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr20_63841-26364240)	COMPLETED	0	2023-03-12 02:33:38.570	12s	0ms	63.6%	3 MB	5.4 MB	93.4 KB	3.2 KB
53	0f/baf48c	186980	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr9_10001-41225986)	COMPLETED	0	2023-03-12 02:33:38.560	12.2s	0ms	45.8%	3.1 MB	5.4 MB	93.5 KB	3.3 KB
68	9b/99b798	188243	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr5_155761325-181478259)	COMPLETED	0	2023-03-12 02:33:38.888	12.3s	1s	56.9%	3.1 MB	5.4 MB	93.3 KB	3.3 KB
67	18/725c9d	188118	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr18_54537529-80263285)	COMPLETED	0	2023-03-12 02:33:38.851	12.4s	0ms	57.8%	3 MB	5.4 MB	93.3 KB	3.2 KB
40	62/848274	187351	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr6_95070791-167591393)	COMPLETED	0	2023-03-12 02:33:38.663	12.8s	0ms	54.1%	3.1 MB	5.4 MB	93.4 KB	3.4 KB
47	45/f08df0	187425	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr2_32917626-89330679)	COMPLETED	0	2023-03-12 02:33:38.679	14.2s	0ms	60.2%	3.1 MB	5.4 MB	93.4 KB	3.3 KB
61	6e/ff353c	187519	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr21_10269869-10274327)	COMPLETED	0	2023-03-12 02:33:38.708	14.2s	0ms	66.0%	3.1 MB	5.4 MB	93.4 KB	3.3 KB
59	96/954ca9	187639	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr8_12284346-43983744)	COMPLETED	0	2023-03-12 02:33:38.746	15.5s	0ms	75.2%	3.1 MB	5.4 MB	93.3 KB	3.2 KB
